# duration_ms,left,right
1035.0,0,0
12235.0,0,0
71.0,1,0
3707.0,1,1
223.0,1,0
5.0,0,0
151.0,0,1
533.0,0,0
55.0,1,0
2706.0,1,1
144.0,0,1
11053.0,0,0
457.0,0,1
168.0,0,0
768.0,0,1
204.0,0,0
329.0,0,1
565.0,0,0
345.0,0,1
3233.0,0,0
